ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
1492,TS80,CBX,Carbadox,7,262.225,-1,-0.317,4.07,7.84,200,56.6,-1,1,1034.21,1440,0.00127,0.565,1.7,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1493,TS80,CCP,Cyclophosphamide,8,261.08,0,0.097,5.2,5.51,200,48,-1,0,500,10,0.002,0.535,87.82,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1494,TS80,CFA,Clofibric acid,8,214.65,-1,2.899,3.5,6.2,200,48,-1,1,500,10,0.002,0.466,87.91,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1495,TS80,DBT,Diethylstilbesterol,7,268.356,0,5.194,4.52,7.5,200,56.6,-1,0,1034.21,1440,0.00106,0.582,75.4,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1496,TS80,DCF,Diclofenac,8,296.15,-1,4.259,4.62,6.34,200,48,-1,1,500,10,0.002,0.541,89.21,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1497,TS80,DEET,"N,N-Diethyl-meta-toluamide",7,191.274,0,2.498,4.06,5.91,200,56.6,-1,0,1034.21,1440,0.001,0.49,18.1,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1498,TS80,EQL,Equilin,7,268.356,-0.0038,3.903,4.15,6.93,200,56.6,-1,0.0038,1034.21,1440,0.00098,0.536,41.8,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1499,TS80,ETO,Estriol,7,288.387,0,2.671,4.15,7.31,200,56.6,-1,0,1034.21,1440,0.00094,0.551,23.7,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1500,TS80,ETR,Estrone,7,270.372,0,4.309,4.06,6.82,200,56.6,-1,0,1034.21,1440,0.00109,0.526,39,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1501,TS80,ETR,Estrone,8.1,270.372,0,4.309,4.06,6.82,200,56.6,-1,0,689.476,10,0.001,0.526,92,The influence of natural organic matter and cations on the rejection of endocrine disrupting and pharmaceutically active compounds by nanofilltration,The role of electrostatic interactions on the rejection of organic solutes in,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1502,TS80,FNP,Fenoprofen,8,242.274,-1,3.654,4.28,6.49,200,48,-1,1,500,10,0.002,0.527,91.21,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1503,TS80,GFB,Gemfibrozil,8,250.338,-1,4.39,4.99,7.43,200,48,-1,1,500,10,0.002,0.609,91.31,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1504,TS80,GFB,Gemfibrozil,7,250.338,-1,4.39,4.99,7.43,200,56.6,-1,1,1034.21,1440,0.00137,0.609,27.1,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1505,TS80,GFB,Gemfibrozil,8.1,250.338,-1,4.39,4.99,7.43,200,56.6,-1,1,689.476,10,0.001,0.609,95.2,The influence of natural organic matter and cations on the rejection of endocrine disrupting and pharmaceutically active compounds by nanofilltration,The role of electrostatic interactions on the rejection of organic solutes in,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1506,TS80,IBP,Ibuprofen,8,206.285,-1,3.844,3.78,6.59,200,48,-1,1,500,10,0.002,0.499,88.91,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1507,TS80,KTP,Ketoprofen,8,254.285,-1,3.613,4.37,6.58,200,48,-1,1,500,10,0.002,0.536,88.77,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1508,TS80,MTL,Metolachlor,7,283.8,0,3.453,5.15,5.79,200,56.6,-1,0,1034.21,1440,0.001,0.546,50.5,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1509,TS80,MTR,Metoprolol,8,267.369,0.9789,1.759,4.39,10.07,200,48,-1,-0.9789,500,10,0.002,0.665,81.02,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1510,TS80,NPX,Naproxen,8,230.263,-1,2.986,3.92,7.3,200,48,-1,1,500,10,0.002,0.535,88.68,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1511,TS80,OXB,Oxybenzone,7,228.247,-0.4578,3.621,3.99,6.99,200,56.6,-1,0.4578,1034.21,1440,0.001,0.528,94.6,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1512,TS80,OXB,Oxybenzone,8.1,228.247,-0.914,3.621,3.99,6.99,200,56.6,-1,0.914,689.476,10,0.001,0.528,84,The influence of natural organic matter and cations on the rejection of endocrine disrupting and pharmaceutically active compounds by nanofilltration,The role of electrostatic interactions on the rejection of organic solutes in,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1513,TS80,PDL,Pindolol,8,248.326,0.9789,1.693,4.45,7.51,200,48,-1,-0.9789,500,10,0.002,0.578,81.04,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1514,TS80,PNZ,Phenazone,8,188.23,0,1.219,4.13,5.89,200,48,-1,0,500,10,0.002,0.493,79.79,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1515,TS80,PPL,Propanolol,8,259.349,0.9789,2.584,4.66,7.41,200,48,-1,-0.9789,500,10,0.002,0.588,81.36,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1516,TS80,PTX,Pentoxifylline,8,278.312,0,0.232,5.27,7.66,200,48,-1,0,500,10,0.002,0.635,80.21,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1517,TS80,SBT,Salbutamol,8,239.315,0.952,0.344,4.32,6.96,200,48,-1,-0.952,500,10,0.002,0.548,76.85,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1518,TS80,SCP,Sulfachloropyridazine,7,284.72,-0.7174,0.853,5.25,5.91,200,56.6,-1,0.7174,1034.21,1440,0.00072,0.557,18.1,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1519,TS80,SFR,Sulfamerazine,7,264.3,-0.5047,0.519,4.9,6.38,200,56.6,-1,0.5047,1034.21,1440,0.00121,0.559,15,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1520,TS80,SFX,Sulfamethoxazole,7,253.28,-0.8735,0.791,5.4,5.88,200,56.6,-1,0.8735,1034.21,1440,0.00119,0.563,21.5,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1521,TS80,SMT,Sulfamethizole,7,270.33,-0.6622,0.214,4.98,5.47,200,56.6,-1,0.6622,1034.21,1440,0.00135,0.522,22.4,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1522,TS80,STL,Sotalol,8,272.36,0.9509,-0.395,4.21,7.94,200,48,-1,-0.9509,500,10,0.002,0.578,81.13,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1523,TS80,TBL,Terbutaline,8,225.288,0.8556,0.441,4.18,6.47,200,48,-1,-0.8556,500,10,0.002,0.52,74.43,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1524,TS80,21HQ,2-(1H)-Quinoline,7,203.341,0,1.66,4.47,6.01,200,37.5,-1,0,500,5760,0.002,0.518,21.074,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1525,TS80,MTC,N-(4-Methoxyphenyl)Acetamide,7,165.192,0,1.053,3.74,6.43,200,37.5,-1,0,500,5760,0.002,0.49,38.017,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1526,TS80,MMP,Monomethyl phthalate,7,180.159,-1,1.634,4.38,5.44,200,37.5,-1,1,500,5760,0.002,0.488,93.182,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1527,TS80,NALT,N-acetyl-L-tyrosine,7,223.228,-1,0.593,4.12,6.73,200,37.5,-1,1,500,5760,0.002,0.527,93.388,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1528,TS80,DKG,Dikegulac,7,274.269,-1,1.119,4.55,6.1,200,37.5,-1,1,500,5760,0.002,0.527,94.008,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1529,TS80,NDPA,N-nitrosodipropylamine,7,130.191,0,1.797,3.76,5.91,200,37.5,-1,0,500,5760,0.002,0.471,45.248,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1530,TS80,BPA,Bisphenol A,7,228.291,0,4.045,4.53,5.62,200,37.5,-1,0,500,5760,0.002,0.505,37.19,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1531,TS80,LNR,Linuron,7,249.09,0,2.299,3.98,6.39,200,37.5,-1,0,500,5760,0.002,0.504,53.099,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration,The role of electrostatic interactions on the rejection of organic solutes in,,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
